applicant_id,application_date,decision_date,visa_status,nationality,processing_center,job_title,job_info_education,naics_title,annual_income_usd,processing_time_days,application_date_year,application_date_month,application_date_day,application_date_dayofweek,decision_date_year,decision_date_month,decision_date_day,decision_date_dayofweek,annual_income_usd_to_processing_time_days_ratio,applicant_id_frequency,visa_status_frequency,nationality_frequency
A-16012-60296,2016-01-14,2016-05-17,Certified,CHINA,WA,Software Development Engineer II,Master's,Custom Computer Programming Services,101088.0,124,2016,1,14,3,2016,5,17,1,808.704,1,4398,750
A-14113-63186,2014-05-15,2014-10-14,Certified-Expired,CANADA,NEW YORK,Senior Manager,Bachelor's,Administrative Management and General Management Consulting Services,109600.0,152,2014,5,15,3,2014,10,14,1,716.3398692810457,1,3341,280
A-15323-41246,2015-11-19,2016-04-05,Certified-Expired,NEPAL,NY,Software Engineer,Master's,Custom Computer Programming Services,92000.0,138,2015,11,19,3,2016,4,5,1,661.8705035971223,1,3341,61
A-14344-33097,2015-04-02,2015-10-21,Certified-Expired,INDIA,MA,Quality Engineer,Bachelor's,Custom Computer Programming Services,93433.0,202,2015,4,2,3,2015,10,21,2,460.2610837438424,1,3341,4703
A-16028-66342,2016-08-04,2016-10-24,Certified,SOUTH KOREA,TX,Occupational Therapist,Master's,Custom Computer Programming Services,93101.0,81,2016,8,4,3,2016,10,24,0,1135.378048780488,1,4398,617
A-16089-90620,2016-03-29,2016-10-24,Denied,SOUTH KOREA,GA,Poultry Processing Worker,Associate's,Custom Computer Programming Services,93101.0,209,2016,3,29,1,2016,10,24,0,443.33809523809526,1,225,617
A-14179-83474,2014-06-30,2014-11-19,Certified-Expired,INDIA,CALIFORNIA,Systems Analyst,Bachelor's,Custom Computer Programming Services,70845.0,142,2014,6,30,0,2014,11,19,2,495.4195804195804,1,3341,4703
A-16152-16159,2016-06-02,2016-08-29,Certified,VIETNAM,TX,Combined Food Preparation and Serving Worker,Master's,Custom Computer Programming Services,93101.0,88,2016,6,2,3,2016,8,29,0,1046.0786516853932,1,4398,83
A-16133-08796,2016-05-24,2016-08-23,Certified,FRANCE,PA,ERS Senior Consultant,Bachelor's,Custom Computer Programming Services,98904.0,91,2016,5,24,1,2016,8,23,1,1075.0434782608695,1,4398,67
A-14303-20812,2014-11-19,2015-04-30,Certified,VENEZUELA,TEXAS,Tech Sales Advisor Bus Dev (Tech Team Reservoir),Bachelor's,Engineering Services,116409.0,162,2014,11,19,2,2015,4,30,3,714.1656441717791,1,4398,59
A-15100-65798,2015-07-20,2016-01-08,Certified-Expired,SOUTH KOREA,TX,Data Analyst III,Bachelor's,Custom Computer Programming Services,84600.0,172,2015,7,20,0,2016,1,8,4,489.01734104046244,1,3341,617
A-14090-56696,2014-05-09,2014-10-07,Certified-Expired,INDIA,CALIFORNIA,"Software Engineer 3, Quality",Master's,Electronic Auctions,115853.0,151,2014,5,9,4,2014,10,7,1,762.1907894736842,1,3341,4703
A-16179-26341,2016-07-07,2016-09-27,Certified,INDIA,TX,Computer Systems Analyst - V,Bachelor's,Custom Computer Programming Services,81765.0,82,2016,7,7,3,2016,9,27,1,985.1204819277109,1,4398,4703
A-15014-42268,2015-02-03,2015-09-02,Certified,INDIA,MICHIGAN,Sr. Application Developer,Bachelor's,Custom Computer Programming Services,88296.0,211,2015,2,3,1,2015,9,2,2,416.49056603773585,1,4398,4703
A-14010-31715,2014-08-07,2014-12-29,Certified-Expired,INDIA,CALIFORNIA,Senior Software Engineer,Master's,Internet Publishing and Broadcasting,100000.0,144,2014,8,7,3,2014,12,29,0,689.6551724137931,1,3341,4703
A-16109-98342,2016-05-17,2016-08-19,Certified,INDIA,CA,Test Engineer,Master's,Custom Computer Programming Services,125011.2,94,2016,5,17,1,2016,8,19,4,1315.9073684210525,1,4398,4703
A-16286-60893,2016-10-25,2016-12-29,Certified,CAMBODIA,NC,Poultry Meat Cutters,Master's,Custom Computer Programming Services,93101.0,65,2016,10,25,1,2016,12,29,3,1410.621212121212,1,4398,3
A-14169-79625,2014-06-30,2014-11-21,Certified-Expired,PAKISTAN,NEW JERSEY,Network Engineer,Master's,Custom Computer Programming Services,70300.0,144,2014,6,30,0,2014,11,21,4,484.82758620689657,1,3341,63
A-15237-11619,2015-08-26,2016-02-04,Certified-Expired,CHINA,TX,accountant,Bachelor's,Custom Computer Programming Services,80579.0,162,2015,8,26,2,2016,2,4,3,494.3496932515337,1,3341,750
A-16145-13751,2016-05-26,2016-07-28,Certified,SOUTH KOREA,IL,Dental Technician,Master's,Custom Computer Programming Services,42515.0,63,2016,5,26,3,2016,7,28,3,664.296875,1,4398,617
A-15308-35764,2015-11-13,2016-04-18,Certified,INDIA,NJ,SOFTWARE DEVELOPER,Master's,Custom Computer Programming Services,103750.0,157,2015,11,13,4,2016,4,18,0,656.6455696202531,1,4398,4703
A-14195-88326,2014-07-24,2014-12-19,Certified-Expired,INDIA,NEW YORK,Member Technical Staff,Master's,Other Telecommunications,87550.0,148,2014,7,24,3,2014,12,19,4,587.5838926174497,1,3341,4703
A-14304-21462,2014-11-07,2015-04-23,Certified,INDIA,VIRGINIA,RF Engineer,Master's,Telecommunications,92000.0,167,2014,11,7,4,2015,4,23,3,547.6190476190476,1,4398,4703
A-15142-79099,2015-06-26,2015-12-09,Certified-Expired,INDIA,IL,"Senior Engineer, Development",Bachelor's,Custom Computer Programming Services,115000.0,166,2015,6,26,4,2015,12,9,2,688.622754491018,1,3341,4703
A-15103-66395,2015-04-03,2016-01-29,Certified-Expired,CANADA,TX,EQUIPMENT OPERATOR,Master's,Custom Computer Programming Services,28059.0,301,2015,4,3,4,2016,1,29,4,92.91059602649007,1,3341,280
A-15266-20709,2015-09-21,2016-05-02,Denied,CANADA,TX,ANTIQUE SHOP SUPERVISOR,Master's,Custom Computer Programming Services,27518.0,224,2015,9,21,0,2016,5,2,0,122.30222222222223,1,225,280
A-14223-96886,2014-08-20,2015-01-22,Certified-Expired,INDIA,NEW JERSEY,Sr. Consultant,Master's,Computer Systems Design Services,79102.0,155,2014,8,20,2,2015,1,22,3,507.06410256410254,1,3341,4703
A-15152-81787,2015-06-19,2015-12-10,Certified-Expired,INDIA,CA,Firmware Development Engineer,Master's,Custom Computer Programming Services,74880.0,174,2015,6,19,4,2015,12,10,3,427.8857142857143,1,3341,4703
A-14342-32078,2014-12-11,2015-07-14,Certified,CHINA,CALIFORNIA,Software Engineer,Master's,Computer Systems Design Services,91104.0,215,2014,12,11,3,2015,7,14,1,421.77777777777777,1,4398,750
A-14202-90743,2014-07-28,2014-12-18,Certified-Expired,INDIA,TEXAS,Consultant (Systems Analyst),Bachelor's,Custom Computer Programming Services,76773.0,143,2014,7,28,0,2014,12,18,3,533.1458333333334,1,3341,4703
A-15350-51525,2015-12-22,2016-05-03,Certified,GERMANY,TX,FINANCIAL ANALYST,Master's,Custom Computer Programming Services,116397.0,133,2015,12,22,1,2016,5,3,1,868.6343283582089,1,4398,43
A-16138-11300,2016-08-29,2016-10-24,Certified,NEPAL,CA,Software Development Engineer,Bachelor's,Custom Computer Programming Services,102500.0,56,2016,8,29,0,2016,10,24,0,1798.2456140350878,1,4398,61
A-14232-99778,2014-09-02,2015-01-28,Certified-Expired,INDIA,CALIFORNIA,Principal Engineer TD Integration Engineering,Master's,Semiconductor and Related Device Manufacturing,71386.0,148,2014,9,2,1,2015,1,28,2,479.1006711409396,1,3341,4703
A-16006-57823,2016-01-11,2016-05-18,Certified,INDIA,CA,Senior Member of Technical Staff,Master's,Custom Computer Programming Services,126000.0,128,2016,1,11,0,2016,5,18,2,976.7441860465116,1,4398,4703
A-16286-60880,2016-10-12,2016-12-28,Certified,INDIA,VA,Programmer Analyst,Master's,Custom Computer Programming Services,103272.0,77,2016,10,12,2,2016,12,28,2,1324.0,1,4398,4703
A-15127-74279,2015-05-18,2015-11-19,Certified-Expired,INDIA,KY,Software Engineer,Master's,Custom Computer Programming Services,85000.0,185,2015,5,18,0,2015,11,19,3,456.98924731182797,1,3341,4703
A-14093-57773,2014-05-06,2014-10-07,Certified-Expired,INDIA,GEORGIA,Assistant Project Engineer,Bachelor's,Aircraft Manufacturing,110178.0,154,2014,5,6,1,2014,10,7,1,710.825806451613,1,3341,4703
A-15265-20671,2015-09-22,2016-02-26,Certified-Expired,SOUTH KOREA,GA,Poultry Line Worker,Master's,Custom Computer Programming Services,19718.0,157,2015,9,22,1,2016,2,26,4,124.79746835443038,1,3341,617
A-15190-96324,2015-07-28,2016-01-12,Certified-Expired,CANADA,WA,Premier Field Engineer* (cont'd in H.14),Master's,Custom Computer Programming Services,109889.0,168,2015,7,28,1,2016,1,12,1,650.2307692307693,1,3341,280
A-15229-09013,2015-08-17,2016-01-26,Certified-Expired,SOUTH KOREA,MA,Architectural Manager,Bachelor's,Custom Computer Programming Services,92000.0,162,2015,8,17,0,2016,1,26,1,564.4171779141104,1,3341,617
A-14279-13339,2014-10-19,2015-03-13,Certified-Expired,INDIA,CALIFORNIA,Principal Software QA Engineer,Bachelor's,Semiconductor and Related Device Manufacturing,148803.0,145,2014,10,19,6,2015,3,13,4,1019.1986301369863,1,3341,4703
A-14222-96829,2014-08-27,2015-01-15,Certified-Expired,CANADA,CALIFORNIA,Senior Allocation Manager,Bachelor's,Other Activities Related to Real Estate,120000.0,141,2014,8,27,2,2015,1,15,3,845.0704225352113,1,3341,280
A-16096-93097,2016-05-02,2016-08-04,Certified,PAKISTAN,MS,PURCHASE CLERK,Master's,Custom Computer Programming Services,39125.0,94,2016,5,2,0,2016,8,4,3,411.8421052631579,1,4398,63
A-15338-46502,2015-12-09,2016-05-03,Certified,POLAND,NY,Product Manager – Insurance Products,Master's,Custom Computer Programming Services,140000.0,146,2015,12,9,2,2016,5,3,1,952.3809523809524,1,4398,30
A-14147-72564,2014-07-05,2014-12-01,Certified-Expired,INDIA,CALIFORNIA,IT Analyst,Bachelor's,Electronic Computer Manufacturing,94230.0,149,2014,7,5,5,2014,12,1,0,628.2,1,3341,4703
A-16053-75450,2016-03-18,2016-06-21,Certified,INDIA,WA,Systems Administrator/Engineer II,Master's,Custom Computer Programming Services,101088.0,95,2016,3,18,4,2016,6,21,1,1053.0,1,4398,4703
A-14268-10204,2014-11-07,2015-04-22,Certified,UKRAINE,MASSACHUSETTS,Computer Software Developer and Analyst,Bachelor's,Computer Systems Design Services,166837.0,166,2014,11,7,4,2015,4,22,2,999.0239520958083,1,4398,43
A-14344-32750,2014-12-26,2015-07-24,Certified,UNITED KINGDOM,NEW YORK,Associate Attorney,Other,Offices of Lawyers,137500.0,210,2014,12,26,4,2015,7,24,4,651.6587677725119,1,4398,77
A-14191-86758,2014-08-05,2015-01-12,Certified-Expired,TAIWAN,MASSACHUSETTS,"Manager, Marketing Intelligence",Master's,Software Publishers,89086.0,160,2014,8,5,1,2015,1,12,0,553.3291925465838,1,3341,84
A-15006-39494,2015-01-14,2015-10-14,Denied,CANADA,MN,Field Technician II,Associate's,Custom Computer Programming Services,52500.0,273,2015,1,14,2,2015,10,14,2,191.6058394160584,1,225,280
A-16105-97292,2016-04-15,2016-11-18,Denied,VIETNAM,DE,Poultry Worker,Master's,Custom Computer Programming Services,22880.0,217,2016,4,15,4,2016,11,18,4,104.95412844036697,1,225,83
A-14168-79218,2014-07-01,2015-01-06,Certified-Expired,CHINA,NORTH CAROLINA,Production Line Worker,Master's,Poultry Processing,93101.0,189,2014,7,1,1,2015,1,6,1,490.0052631578947,1,3341,750
A-15364-55949,2016-03-30,2016-06-15,Certified,INDIA,MA,Senior Quality Assurance Engineer,Bachelor's,Custom Computer Programming Services,85780.0,77,2016,3,30,2,2016,6,15,2,1099.7435897435898,1,4398,4703
A-15029-46770,2015-01-29,2015-08-24,Certified,CHINA,SOUTH CAROLINA,Commercial Cleaner,Master's,Janitorial Services,93101.0,207,2015,1,29,3,2015,8,24,0,447.60096153846155,1,4398,750
A-16034-68915,2016-02-17,2016-09-28,Certified,UNITED STATES OF AMERICA,CA,DESIGN ENGINEER,Master's,Custom Computer Programming Services,108992.0,224,2016,2,17,2,2016,9,28,2,484.4088888888889,1,4398,8
A-16026-65376,2016-01-26,2016-05-12,Certified,INDIA,NJ,Business Development Manager,Master's,Custom Computer Programming Services,150093.0,107,2016,1,26,1,2016,5,12,3,1389.75,1,4398,4703
A-15008-40543,2015-01-09,2015-08-14,Certified,INDIA,NEW YORK,Information Technology Manager-2,Bachelor's,Custom Computer Programming Services,133730.0,217,2015,1,9,4,2015,8,14,4,613.440366972477,1,4398,4703
A-16127-06521,2016-06-14,2016-08-22,Certified,COLOMBIA,TX,RAN Engineer,Bachelor's,Custom Computer Programming Services,90000.0,69,2016,6,14,1,2016,8,22,0,1285.7142857142858,1,4398,49
A-15323-41396,2015-11-24,2016-04-13,Certified,FRANCE,CA,Principal Sales Consultant,Bachelor's,Custom Computer Programming Services,130000.0,141,2015,11,24,1,2016,4,13,2,915.4929577464789,1,4398,67
A-15006-39485,2015-01-06,2015-08-26,Certified,SOUTH KOREA,MISSISSIPPI,Catfish Processor,Master's,Fresh and Frozen Seafood Processing,17035.2,232,2015,1,6,1,2015,8,26,2,73.11244635193134,1,4398,617
