application_date,visa_status,nationality,processing_center,job_title,job_info_education,naics_title,annual_income_usd,processing_time_days,application_date_year,application_date_month,application_date_day,application_date_dayofweek,annual_income_usd_to_processing_time_days_ratio,visa_status_frequency,nationality_frequency
2016-01-14,Certified,CHINA,WA,Software Development Engineer II,Master's,Custom Computer Programming Services,101088.0,124,2016,1,14,3,808.704,4398,750
2014-05-15,Certified-Expired,CANADA,NEW YORK,Senior Manager,Bachelor's,Administrative Management and General Management Consulting Services,109600.0,152,2014,5,15,3,716.3398692810457,3341,280
2015-11-19,Certified-Expired,NEPAL,NY,Software Engineer,Master's,Custom Computer Programming Services,92000.0,138,2015,11,19,3,661.8705035971223,3341,61
2015-04-02,Certified-Expired,INDIA,MA,Quality Engineer,Bachelor's,Custom Computer Programming Services,93433.0,202,2015,4,2,3,460.2610837438424,3341,4703
2016-08-04,Certified,SOUTH KOREA,TX,Occupational Therapist,Master's,Custom Computer Programming Services,93101.0,81,2016,8,4,3,1135.378048780488,4398,617
2016-03-29,Denied,SOUTH KOREA,GA,Poultry Processing Worker,Associate's,Custom Computer Programming Services,93101.0,209,2016,3,29,1,443.33809523809526,225,617
2014-06-30,Certified-Expired,INDIA,CALIFORNIA,Systems Analyst,Bachelor's,Custom Computer Programming Services,70845.0,142,2014,6,30,0,495.4195804195804,3341,4703
2016-06-02,Certified,VIETNAM,TX,Combined Food Preparation and Serving Worker,Master's,Custom Computer Programming Services,93101.0,88,2016,6,2,3,1046.0786516853932,4398,83
2016-05-24,Certified,FRANCE,PA,ERS Senior Consultant,Bachelor's,Custom Computer Programming Services,98904.0,91,2016,5,24,1,1075.0434782608695,4398,67
2014-11-19,Certified,VENEZUELA,TEXAS,Tech Sales Advisor Bus Dev (Tech Team Reservoir),Bachelor's,Engineering Services,116409.0,162,2014,11,19,2,714.1656441717791,4398,59
2015-07-20,Certified-Expired,SOUTH KOREA,TX,Data Analyst III,Bachelor's,Custom Computer Programming Services,84600.0,172,2015,7,20,0,489.0173410404624,3341,617
2014-05-09,Certified-Expired,INDIA,CALIFORNIA,"Software Engineer 3, Quality",Master's,Electronic Auctions,115853.0,151,2014,5,9,4,762.1907894736842,3341,4703
2016-07-07,Certified,INDIA,TX,Computer Systems Analyst - V,Bachelor's,Custom Computer Programming Services,81765.0,82,2016,7,7,3,985.1204819277108,4398,4703
2015-02-03,Certified,INDIA,MICHIGAN,Sr. Application Developer,Bachelor's,Custom Computer Programming Services,88296.0,211,2015,2,3,1,416.4905660377359,4398,4703
2014-08-07,Certified-Expired,INDIA,CALIFORNIA,Senior Software Engineer,Master's,Internet Publishing and Broadcasting,100000.0,144,2014,8,7,3,689.6551724137931,3341,4703
2016-05-17,Certified,INDIA,CA,Test Engineer,Master's,Custom Computer Programming Services,125011.2,94,2016,5,17,1,1315.9073684210523,4398,4703
2016-10-25,Certified,CAMBODIA,NC,Poultry Meat Cutters,Master's,Custom Computer Programming Services,93101.0,65,2016,10,25,1,1410.621212121212,4398,3
2014-06-30,Certified-Expired,PAKISTAN,NEW JERSEY,Network Engineer,Master's,Custom Computer Programming Services,70300.0,144,2014,6,30,0,484.82758620689657,3341,63
2015-08-26,Certified-Expired,CHINA,TX,accountant,Bachelor's,Custom Computer Programming Services,80579.0,162,2015,8,26,2,494.3496932515337,3341,750
2016-05-26,Certified,SOUTH KOREA,IL,Dental Technician,Master's,Custom Computer Programming Services,42515.0,63,2016,5,26,3,664.296875,4398,617
2015-11-13,Certified,INDIA,NJ,SOFTWARE DEVELOPER,Master's,Custom Computer Programming Services,103750.0,157,2015,11,13,4,656.6455696202531,4398,4703
2014-07-24,Certified-Expired,INDIA,NEW YORK,Member Technical Staff,Master's,Other Telecommunications,87550.0,148,2014,7,24,3,587.5838926174497,3341,4703
2014-11-07,Certified,INDIA,VIRGINIA,RF Engineer,Master's,Telecommunications,92000.0,167,2014,11,7,4,547.6190476190476,4398,4703
2015-06-26,Certified-Expired,INDIA,IL,"Senior Engineer, Development",Bachelor's,Custom Computer Programming Services,115000.0,166,2015,6,26,4,688.622754491018,3341,4703
2015-04-03,Certified-Expired,CANADA,TX,EQUIPMENT OPERATOR,Master's,Custom Computer Programming Services,28059.0,301,2015,4,3,4,92.91059602649008,3341,280
2015-09-21,Denied,CANADA,TX,ANTIQUE SHOP SUPERVISOR,Master's,Custom Computer Programming Services,27518.0,224,2015,9,21,0,122.30222222222224,225,280
2014-08-20,Certified-Expired,INDIA,NEW JERSEY,Sr. Consultant,Master's,Computer Systems Design Services,79102.0,155,2014,8,20,2,507.06410256410254,3341,4703
2015-06-19,Certified-Expired,INDIA,CA,Firmware Development Engineer,Master's,Custom Computer Programming Services,74880.0,174,2015,6,19,4,427.8857142857143,3341,4703
2014-12-11,Certified,CHINA,CALIFORNIA,Software Engineer,Master's,Computer Systems Design Services,91104.0,215,2014,12,11,3,421.77777777777777,4398,750
2014-07-28,Certified-Expired,INDIA,TEXAS,Consultant (Systems Analyst),Bachelor's,Custom Computer Programming Services,76773.0,143,2014,7,28,0,533.1458333333334,3341,4703
2015-12-22,Certified,GERMANY,TX,FINANCIAL ANALYST,Master's,Custom Computer Programming Services,116397.0,133,2015,12,22,1,868.6343283582089,4398,43
2016-08-29,Certified,NEPAL,CA,Software Development Engineer,Bachelor's,Custom Computer Programming Services,102500.0,56,2016,8,29,0,1798.2456140350878,4398,61
2014-09-02,Certified-Expired,INDIA,CALIFORNIA,Principal Engineer TD Integration Engineering,Master's,Semiconductor and Related Device Manufacturing,71386.0,148,2014,9,2,1,479.1006711409396,3341,4703
2016-01-11,Certified,INDIA,CA,Senior Member of Technical Staff,Master's,Custom Computer Programming Services,126000.0,128,2016,1,11,0,976.7441860465116,4398,4703
2016-10-12,Certified,INDIA,VA,Programmer Analyst,Master's,Custom Computer Programming Services,103272.0,77,2016,10,12,2,1324.0,4398,4703
2015-05-18,Certified-Expired,INDIA,KY,Software Engineer,Master's,Custom Computer Programming Services,85000.0,185,2015,5,18,0,456.989247311828,3341,4703
2014-05-06,Certified-Expired,INDIA,GEORGIA,Assistant Project Engineer,Bachelor's,Aircraft Manufacturing,110178.0,154,2014,5,6,1,710.825806451613,3341,4703
2015-09-22,Certified-Expired,SOUTH KOREA,GA,Poultry Line Worker,Master's,Custom Computer Programming Services,19718.0,157,2015,9,22,1,124.79746835443038,3341,617
2015-07-28,Certified-Expired,CANADA,WA,Premier Field Engineer* (cont'd in H.14),Master's,Custom Computer Programming Services,109889.0,168,2015,7,28,1,650.2307692307693,3341,280
2015-08-17,Certified-Expired,SOUTH KOREA,MA,Architectural Manager,Bachelor's,Custom Computer Programming Services,92000.0,162,2015,8,17,0,564.4171779141104,3341,617
2014-10-19,Certified-Expired,INDIA,CALIFORNIA,Principal Software QA Engineer,Bachelor's,Semiconductor and Related Device Manufacturing,148803.0,145,2014,10,19,6,1019.1986301369864,3341,4703
2014-08-27,Certified-Expired,CANADA,CALIFORNIA,Senior Allocation Manager,Bachelor's,Other Activities Related to Real Estate,120000.0,141,2014,8,27,2,845.0704225352113,3341,280
2016-05-02,Certified,PAKISTAN,MS,PURCHASE CLERK,Master's,Custom Computer Programming Services,39125.0,94,2016,5,2,0,411.8421052631579,4398,63
2015-12-09,Certified,POLAND,NY,Product Manager – Insurance Products,Master's,Custom Computer Programming Services,140000.0,146,2015,12,9,2,952.3809523809524,4398,30
2014-07-05,Certified-Expired,INDIA,CALIFORNIA,IT Analyst,Bachelor's,Electronic Computer Manufacturing,94230.0,149,2014,7,5,5,628.2,3341,4703
2016-03-18,Certified,INDIA,WA,Systems Administrator/Engineer II,Master's,Custom Computer Programming Services,101088.0,95,2016,3,18,4,1053.0,4398,4703
2014-11-07,Certified,UKRAINE,MASSACHUSETTS,Computer Software Developer and Analyst,Bachelor's,Computer Systems Design Services,166837.0,166,2014,11,7,4,999.0239520958085,4398,43
2014-12-26,Certified,UNITED KINGDOM,NEW YORK,Associate Attorney,Other,Offices of Lawyers,137500.0,210,2014,12,26,4,651.6587677725119,4398,77
2014-08-05,Certified-Expired,TAIWAN,MASSACHUSETTS,"Manager, Marketing Intelligence",Master's,Software Publishers,89086.0,160,2014,8,5,1,553.3291925465838,3341,84
2015-01-14,Denied,CANADA,MN,Field Technician II,Associate's,Custom Computer Programming Services,52500.0,273,2015,1,14,2,191.6058394160584,225,280
2016-04-15,Denied,VIETNAM,DE,Poultry Worker,Master's,Custom Computer Programming Services,22880.0,217,2016,4,15,4,104.95412844036696,225,83
2014-07-01,Certified-Expired,CHINA,NORTH CAROLINA,Production Line Worker,Master's,Poultry Processing,93101.0,189,2014,7,1,1,490.0052631578947,3341,750
2016-03-30,Certified,INDIA,MA,Senior Quality Assurance Engineer,Bachelor's,Custom Computer Programming Services,85780.0,77,2016,3,30,2,1099.7435897435898,4398,4703
2015-01-29,Certified,CHINA,SOUTH CAROLINA,Commercial Cleaner,Master's,Janitorial Services,93101.0,207,2015,1,29,3,447.6009615384616,4398,750
2016-02-17,Certified,UNITED STATES OF AMERICA,CA,DESIGN ENGINEER,Master's,Custom Computer Programming Services,108992.0,224,2016,2,17,2,484.4088888888889,4398,8
2016-01-26,Certified,INDIA,NJ,Business Development Manager,Master's,Custom Computer Programming Services,150093.0,107,2016,1,26,1,1389.75,4398,4703
2015-01-09,Certified,INDIA,NEW YORK,Information Technology Manager-2,Bachelor's,Custom Computer Programming Services,133730.0,217,2015,1,9,4,613.440366972477,4398,4703
2016-06-14,Certified,COLOMBIA,TX,RAN Engineer,Bachelor's,Custom Computer Programming Services,90000.0,69,2016,6,14,1,1285.7142857142858,4398,49
2015-11-24,Certified,FRANCE,CA,Principal Sales Consultant,Bachelor's,Custom Computer Programming Services,130000.0,141,2015,11,24,1,915.4929577464789,4398,67
