applicant_id,application_date,decision_date,visa_status,nationality,processing_center,job_title,job_info_education,education_level,naics_title,annual_income_usd,processing_time_days
A-16012-60296,14-01-2016,17-05-2016,Certified,CHINA,WA,Software Development Engineer II,Master's,Master's,,101088,124
A-14113-63186,15-05-2014,14-10-2014,Certified-Expired,CANADA,NEW YORK,Senior Manager,Bachelor's,Bachelor's,Administrative Management and General Management Consulting Services,"1,09,600.00",152
A-10029-84083,29-01-2010,11-02-2016,Certified-Expired,ECUADOR,NY,IT Administrative Assistant/Bilingual Spanish,,Master's,,25.14,2204
A-15323-41246,19-11-2015,05-04-2016,Certified-Expired,NEPAL,NY,Software Engineer,Master's,Master's,,92000,138
A-13036-38065,18-04-2013,01-10-2014,Certified-Expired,BRAZIL,CALIFORNIA,Software Engineer in Test,Master's,Master's,Computer Systems Design Services,"1,14,000.00",531
A-14344-33097,02-04-2015,21-10-2015,Certified-Expired,INDIA,MA,Quality Engineer,Bachelor's,Master's,,93433,202
A-15016-43258,20-01-2015,04-02-2016,Certified-Expired,CHINA,VA,"Director, Investor Relations",Master's,Master's,,184912,380
A-16028-66342,04-08-2016,24-10-2016,Certified,SOUTH KOREA,TX,Occupational Therapist,Master's,Master's,,40,81
A-16089-90620,29-03-2016,24-10-2016,Denied,SOUTH KOREA,GA,Poultry Processing Worker,,Associate's,,9.7,209
A-14179-83474,30-06-2014,19-11-2014,Certified-Expired,INDIA,CALIFORNIA,Systems Analyst,Bachelor's,Other,Custom Computer Programming Services,"70,845.00",142
A-14210-93358,11-08-2014,21-10-2015,Certified-Expired,INDIA,NY,Senior Member Technical Staff,Bachelor's,Bachelor's,,112549,436
A-16152-16159,02-06-2016,29-08-2016,Certified,VIETNAM,TX,Combined Food Preparation and Serving Worker,,,,8.63,88
A-16133-08796,24-05-2016,23-08-2016,Certified,FRANCE,PA,ERS Senior Consultant,Bachelor's,Master's,,98904,91
A-14303-20812,19-11-2014,30-04-2015,Certified,VENEZUELA,TEXAS,Tech Sales Advisor Bus Dev (Tech Team Reservoir),Bachelor's,Bachelor's,Engineering Services,"1,16,409.00",162
A-15100-65798,20-07-2015,08-01-2016,Certified-Expired,SOUTH KOREA,TX,Data Analyst III,Bachelor's,Master's,,84600,172
A-14090-56696,09-05-2014,07-10-2014,Certified-Expired,INDIA,CALIFORNIA,"Software Engineer 3, Quality",Master's,Bachelor's,Electronic Auctions,"1,15,853.00",151
A-16179-26341,07-07-2016,27-09-2016,Certified,INDIA,TX,Computer Systems Analyst - V,Bachelor's,Bachelor's,,81765,82
A-13148-66867,11-06-2013,30-01-2015,Certified-Expired,ROMANIA,GEORGIA,Tennis Coach,Bachelor's,Bachelor's,Sports and Recreation Instruction,"52,180.00",598
A-15014-42268,03-02-2015,02-09-2015,Certified,INDIA,MICHIGAN,Sr. Application Developer,Bachelor's,Bachelor's,Custom Computer Programming Services,"88,296.00",211
A-14010-31715,07-08-2014,29-12-2014,Certified-Expired,INDIA,CALIFORNIA,Senior Software Engineer,Master's,Master's,Internet Publishing and Broadcasting,"1,00,000.00",144
A-16109-98342,17-05-2016,19-08-2016,Certified,INDIA,CA,Test Engineer,Master's,Master's,,125011.2,94
A-14142-71865,17-06-2014,02-09-2015,Certified,CHINA,CALIFORNIA,Food Science Senior Research Associate,Master's,Master's,"Research and Development in the Physical, Engineering, and Life Sciences","70,000.00",442
A-16286-60893,25-10-2016,29-12-2016,Certified,CAMBODIA,NC,Poultry Meat Cutters,,,,9.6,65
A-14169-79625,30-06-2014,21-11-2014,Certified-Expired,PAKISTAN,NEW JERSEY,Network Engineer,Master's,Master's,Custom Computer Programming Services,"70,300.00",144
A-15237-11619,26-08-2015,04-02-2016,Certified-Expired,CHINA,TX,accountant,Bachelor's,Bachelor's,,80579,162
A-16145-13751,26-05-2016,28-07-2016,Certified,SOUTH KOREA,IL,Dental Technician,,,,42515,63
A-13099-53993,31-05-2013,24-11-2014,Certified-Expired,INDIA,MICHIGAN,Sr. Application Developer,Bachelor's,Bachelor's,Custom Computer Programming Services,"88,254.00",542
A-15308-35764,13-11-2015,18-04-2016,Certified,INDIA,NJ,SOFTWARE DEVELOPER,Master's,Bachelor's,,103750,157
A-14195-88326,24-07-2014,19-12-2014,Certified-Expired,INDIA,NEW YORK,Member Technical Staff,Master's,Master's,Other Telecommunications,"87,550.00",148
A-14304-21462,07-11-2014,23-04-2015,Certified,INDIA,VIRGINIA,RF Engineer,Master's,Master's,Telecommunications,"92,000.00",167
A-15142-79099,26-06-2015,09-12-2015,Certified-Expired,INDIA,IL,"Senior Engineer, Development",Bachelor's,Master's,,115000,166
A-15103-66395,03-04-2015,29-01-2016,Certified-Expired,CANADA,TX,EQUIPMENT OPERATOR,,,,28059,301
A-15266-20709,21-09-2015,02-05-2016,Denied,CANADA,TX,ANTIQUE SHOP SUPERVISOR,,,,27518,224
A-14223-96886,20-08-2014,22-01-2015,Certified-Expired,INDIA,NEW JERSEY,Sr. Consultant,Master's,Master's,Computer Systems Design Services,"79,102.00",155
A-15152-81787,19-06-2015,10-12-2015,Certified-Expired,INDIA,CA,Firmware Development Engineer,Master's,Master's,,74880,174
A-14342-32078,11-12-2014,14-07-2015,Certified,CHINA,CALIFORNIA,Software Engineer,Master's,Doctorate,Computer Systems Design Services,"91,104.00",215
A-14202-90743,28-07-2014,18-12-2014,Certified-Expired,INDIA,TEXAS,Consultant (Systems Analyst),Bachelor's,Bachelor's,Custom Computer Programming Services,"76,773.00",143
A-15350-51525,22-12-2015,03-05-2016,Certified,GERMANY,TX,FINANCIAL ANALYST,Master's,Master's,,116397,133
A-16138-11300,29-08-2016,24-10-2016,Certified,NEPAL,CA,Software Development Engineer,Bachelor's,Doctorate,,"1,02,500.00",56
A-14232-99778,02-09-2014,28-01-2015,Certified-Expired,INDIA,CALIFORNIA,Principal Engineer TD Integration Engineering,Master's,Master's,Semiconductor and Related Device Manufacturing,"71,386.00",148
A-16049-74423,13-05-2016,05-08-2016,Certified,GERMANY,NJ,"Director, Expert Experimental Medicine Oncology",Other,Other,,262461,84
A-16006-57823,11-01-2016,18-05-2016,Certified,INDIA,CA,Senior Member of Technical Staff,Master's,Master's,,126000,128
A-16286-60880,12-10-2016,28-12-2016,Certified,INDIA,VA,Programmer Analyst,Master's,Bachelor's,,"1,03,272.00",77
A-15127-74279,18-05-2015,19-11-2015,Certified-Expired,INDIA,KY,Software Engineer,Master's,Bachelor's,,85000,185
A-14093-57773,06-05-2014,07-10-2014,Certified-Expired,INDIA,GEORGIA,Assistant Project Engineer,Bachelor's,Master's,Aircraft Manufacturing,"1,10,178.00",154
A-13304-08975,31-10-2013,29-04-2015,Certified,TAIWAN,CALIFORNIA,Business Taxation Analyst,Master's,Master's,Offices of Certified Public Accountants,"54,122.00",545
A-15265-20671,22-09-2015,26-02-2016,Certified-Expired,SOUTH KOREA,GA,Poultry Line Worker,,,,19718,157
A-15190-96324,28-07-2015,12-01-2016,Certified-Expired,CANADA,WA,Premier Field Engineer* (cont'd in H.14),Master's,Master's,,109889,168
A-15229-09013,17-08-2015,26-01-2016,Certified-Expired,SOUTH KOREA,MA,Architectural Manager,Bachelor's,Bachelor's,,92000,162
A-14279-13339,19-10-2014,13-03-2015,Certified-Expired,INDIA,CALIFORNIA,Principal Software QA Engineer,Bachelor's,Bachelor's,Semiconductor and Related Device Manufacturing,"1,48,803.00",145
A-13228-89126,05-09-2013,06-04-2015,Denied,DEMOCRATIC REPUBLIC OF CONGO,CALIFORNIA,Foreign Language Instructor Post Secondary,Master's,Doctorate,Junior Colleges,"52,590.00",578
A-14222-96829,27-08-2014,15-01-2015,Certified-Expired,CANADA,CALIFORNIA,Senior Allocation Manager,Bachelor's,Bachelor's,Other Activities Related to Real Estate,"1,20,000.00",141
A-14097-58476,07-04-2014,07-08-2015,Denied,MEXICO,NEW YORK,Housekeeper,,,Hotels (except Casino Hotels) and Motels,"43,000.00",487
A-16096-93097,02-05-2016,04-08-2016,Certified,PAKISTAN,MS,PURCHASE CLERK,,,,39125,94
A-15338-46502,09-12-2015,03-05-2016,Certified,POLAND,NY,Product Manager – Insurance Products,Master's,Doctorate,,140000,146
A-14147-72564,05-07-2014,01-12-2014,Certified-Expired,INDIA,CALIFORNIA,IT Analyst,Bachelor's,Bachelor's,Electronic Computer Manufacturing,"94,230.00",149
A-16053-75450,18-03-2016,21-06-2016,Certified,INDIA,WA,Systems Administrator/Engineer II,Master's,Bachelor's,,101088,95
A-14268-10204,07-11-2014,22-04-2015,Certified,UKRAINE,MASSACHUSETTS,Computer Software Developer and Analyst,Bachelor's,Bachelor's,Computer Systems Design Services,"1,66,837.00",166
A-14344-32750,26-12-2014,24-07-2015,Certified,UNITED KINGDOM,NEW YORK,Associate Attorney,Other,Other,Offices of Lawyers,"1,37,500.00",210
A-14191-86758,05-08-2014,12-01-2015,Certified-Expired,TAIWAN,MASSACHUSETTS,"Manager, Marketing Intelligence",Master's,Master's,Software Publishers,"89,086.00",160
A-15006-39494,14-01-2015,14-10-2015,Denied,CANADA,MN,Field Technician II,Associate's,Bachelor's,,52500,273
A-16105-97292,15-04-2016,18-11-2016,Denied,VIETNAM,DE,Poultry Worker,,,,"22,880.00",217
A-14080-54848,27-03-2014,14-07-2015,Certified,INDIA,CALIFORNIA,Software Engineer,Bachelor's,Bachelor's,Custom Computer Programming Services,"1,34,535.00",474
A-13112-58199,22-04-2013,03-10-2014,Denied,SOUTH KOREA,TEXAS,MUSIC DIRECTOR,,Associate's,Religious Organizations,"51,854.00",529
A-14168-79218,01-07-2014,06-01-2015,Certified-Expired,CHINA,NORTH CAROLINA,Production Line Worker,,,Poultry Processing,9.3,189
A-15364-55949,30-03-2016,15-06-2016,Certified,INDIA,MA,Senior Quality Assurance Engineer,Bachelor's,Bachelor's,,85780,77
A-15029-46770,29-01-2015,24-08-2015,Certified,CHINA,SOUTH CAROLINA,Commercial Cleaner,,,Janitorial Services,8.05,207
A-16034-68915,17-02-2016,28-09-2016,Certified,UNITED STATES OF AMERICA,CA,DESIGN ENGINEER,Master's,Master's,,108992,224
A-16026-65376,26-01-2016,12-05-2016,Certified,INDIA,NJ,Business Development Manager,Master's,Bachelor's,,150093,107
A-15008-40543,09-01-2015,14-08-2015,Certified,INDIA,NEW YORK,Information Technology Manager-2,Bachelor's,Master's,Custom Computer Programming Services,"1,33,730.00",217
A-14191-86748,07-07-2014,06-11-2015,Certified-Expired,VENEZUELA,FL,COMPUTER ENGINEER,Bachelor's,Bachelor's,,114483,487
A-16127-06521,14-06-2016,22-08-2016,Certified,COLOMBIA,TX,RAN Engineer,Bachelor's,Bachelor's,,90000,69
A-15323-41396,24-11-2015,13-04-2016,Certified,FRANCE,CA,Principal Sales Consultant,Bachelor's,Bachelor's,,130000,141
A-15006-39485,06-01-2015,26-08-2015,Certified,SOUTH KOREA,MISSISSIPPI,Catfish Processor,,,Fresh and Frozen Seafood Processing,"17,035.20",232
A-15352-52796,29-12-2015,27-04-2016,Withdrawn,CHINA,CA,Senior Software Engineer,Master's,Master's,,152000,120
A-15106-67481,11-05-2015,19-11-2015,Certified-Expired,INDIA,CA,Senior Network Administrators,Master's,Bachelor's,,84302,192
A-16112-00551,21-07-2016,06-10-2016,Certified,INDIA,TX,Technology Lead - U.S. (Open Systems),Bachelor's,Bachelor's,,"81,952.00",77
A-14141-71319,17-06-2014,12-12-2014,Certified-Expired,INDIA,WASHINGTON,IT Service Operations Engineer 2 - Corporate or Other,Master's,Bachelor's,Software Publishers,"92,643.00",178
A-16011-59658,29-02-2016,27-05-2016,Certified,INDIA,MI,SAP Basis Engineer,Bachelor's,Bachelor's,,110000,88
A-16204-35237,11-08-2016,26-10-2016,Certified,INDIA,CA,"Principal Specialist, Organizational Development",Master's,Master's,,"94,162.00",76
A-13142-65679,07-06-2013,24-12-2014,Certified-Expired,INDIA,CALIFORNIA,Senior Software/Systems Test Engineer/Product Validation and Test,Master's,Master's,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"93,017.60",565
A-14227-98690,19-08-2014,23-10-2015,Certified-Expired,SOUTH KOREA,WA,Product Manager,,Master's,,135000,430
A-15133-76228,21-05-2015,01-12-2015,Certified-Expired,INDIA,MO,Software Engineer Lead,Master's,Bachelor's,,76419,194
A-14238-01362,16-09-2014,06-02-2015,Certified-Expired,INDIA,COLORADO,Computer Software Engineer,Bachelor's,Bachelor's,Other Computer Related Services,"1,24,363.00",143
